"Qty","Value","Device","Package","Parts","Description","",
"1","","DB9FEMALE","DB9","X1","DB9 Connector","",
"1","","DIODESMB","SMB-DIODE","D8","Diode","",
"1","","M02PTH","1X02","JP6","Header 2","",
"2","","M03PTH","1X03","JP4, JP7","Header 3","",
"2","","M04PTH","1X04","JP1, JP11","Header 4","",
"1","","M07","1X07","JP5","Header 7","",
"5","","TAC_SWITCHPTH","TACTILE-PTH","S1, S2, S3, S4, S5","Momentary Switch","",
"8","0.01uF","CAP0805","0805","C29, C30, C31, C32, C41, C42, C43, C44","Capacitor","",
"26","0.1uF","CAP0805","0805","C6, C7, C8, C9, C10, C18, C19, C20, C21, C22, C23, C27, C28, C33, C34, C35, C38, C39, C45, C46, C47, C48, C49, C50, C51, C52","Capacitor","",
"2","0.68R","RESISTOR0805-RES","0805","R1, R7","Resistor","",
"1","1.2K","RESISTOR0805-RES","0805","R3","Resistor","",
"2","1.5K","RESISTOR0805-RES","0805","R9, R45","Resistor","",
"4","100K","RESISTOR0805-RES","0805","R11, R20, R47, R48","Resistor","",
"2","100uF","CAP_POLPTH1","CPOL-RADIAL-100UF-25V","C1, C15","Capacitor Polarized","",
"4","10K","RESISTOR0805-RES","0805","R4, R28, R29, R43","Resistor","",
"2","10R","RESISTOR0805-RES","0805","R16, R25","Resistor","",
"2","10uF","10UF-TANT","EIA3216","C5, C16","10uF Tantalum SMT","",
"2","10uF","CAP_POL3528-KIT","EIA3528-KIT","C26, C40","Capacitor Polarized","",
"2","10uH","INDUCTOR0805","0805","L4, L5","Inductors","",
"2","12.4K","RESISTOR0805-RES","0805","R10, R19","Resistor","",
"1","13K","RESISTOR0805-RES","0805","R8","Resistor","",
"1","1M","RESISTOR0805-RES","0805","R46","Resistor","",
"4","1N4148WS-V-GS18","DIODESMA-ALT","SMA-DIODE_ALT","D2, D3, D6, D7","Diode","",
"9","1X02_TERMB_RA","1X02_TERMB_RA","1X02_TERMB_RA","U$2, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$13","","",
"4","1X03_TERMB_RA","1X03_TERMB_RA","1X03_TERMB_RA","U$14, U$15, U$16, U$17","","",
